home_tract,work_tract,flow_jobs
31019969700,31055006803,1
31019969700,31055006806,1
31019969700,31055006905,2
31019969700,31055007001,3
31019969700,31055007003,2
31019969700,31055007312,1
31019969700,31055007409,14
31019969700,31055007431,1
31019969700,31055007439,1
31019969700,31055007442,1
31019969700,31055007443,1
31019969700,31055007444,1
31019969700,31055007445,1
31019969700,31055007449,5
31019969700,31055007450,1
31019969700,31055007451,1
31019969700,31055007452,2
31019969700,31055007453,1
31019969700,31055007454,1
31019969700,31055007457,2
31019969700,31055007460,1
31019969700,31055007463,1
31019969700,31055007464,1
31019969700,31055007467,1
31019969700,31055007471,3
31019969700,31055007473,1
31019969700,31055007474,3
31019969700,31055007504,2
31019969700,31055007505,1
31019969700,31055007508,2
31019969700,31055007509,2
31019969700,31055007518,1
31019969700,31055007520,1
31019969700,31055007521,1
31021963200,31055000200,1
31021963200,31055000300,1
31021963200,31055000500,3
31021963200,31055001600,1
31021963200,31055002700,1
31021963200,31055004400,1
31021963200,31055004600,1
31021963200,31055005300,1
31021963200,31055006302,1
31021963200,31055006400,2
31021963200,31055006503,1
31021963200,31055006504,1
31021963200,31055006604,1
31021963200,31055006605,1
31021963200,31055006606,1
31021963200,31055006701,8
31021963200,31055006703,5
31021963200,31055006704,7
31021963200,31055006804,1
31021963200,31055006805,1
31021963200,31055006806,3
31021963200,31055006904,1
31021963200,31055006905,1
31021963200,31055007001,11
31021963200,31055007303,3
31021963200,31055007312,1
31021963200,31055007317,1
31021963200,31055007318,4
31021963200,31055007319,3
31021963200,31055007320,1
31021963200,31055007407,2
31021963200,31055007408,2
31021963200,31055007409,13
31021963200,31055007424,1
31021963200,31055007429,3
31021963200,31055007439,1
31021963200,31055007443,4
31021963200,31055007445,2
31021963200,31055007447,1
31021963200,31055007449,2
31021963200,31055007450,2
31021963200,31055007454,6
31021963200,31055007456,1
31021963200,31055007460,1
31021963200,31055007463,4
31021963200,31055007464,1
31021963200,31055007467,1
31021963200,31055007470,2
31021963200,31055007471,1
31021963200,31055007474,4
31021963200,31055007504,5
31021963200,31055007506,1
31021963200,31055007508,6
31021963200,31055007509,2
31021963200,31055007514,3
31021963200,31055007515,1
31021963200,31055007518,2
31021963200,31055007519,2
31021963200,31055007522,1
31021963200,31055007524,5
31021963300,31055000200,1
