home_tract,work_tract,flow_jobs
31011960100,31055004400,2
31011960100,31055004700,1
31011960100,31055004800,1
31011960100,31055005100,1
31011960100,31055005600,1
31011960100,31055007001,5
31011960100,31055007003,1
31011960100,31055007101,1
31011960100,31055007304,3
31011960100,31055007408,1
31011960100,31055007409,5
31011960100,31055007441,1
31011960100,31055007442,1
31011960100,31055007444,2
31011960100,31055007449,1
31011960100,31055007456,2
31011960100,31055007464,2
31011960100,31055007470,1
31011960100,31055007472,1
31011960100,31055007474,3
31011960100,31055007504,1
31011960100,31055007505,1
31011960100,31055007519,5
31011960100,31055007520,1
31011960100,31055007523,3
31011960100,31055007524,6
31011960200,31055001100,1
31011960200,31055001800,5
31011960200,31055002900,1
31011960200,31055004400,1
31011960200,31055004900,1
31011960200,31055005700,1
31011960200,31055006505,1
31011960200,31055006703,2
31011960200,31055006906,1
31011960200,31055007311,3
31011960200,31055007312,1
31011960200,31055007316,1
31011960200,31055007409,7
31011960200,31055007429,2
31011960200,31055007441,1
31011960200,31055007445,2
31011960200,31055007456,3
31011960200,31055007464,2
31011960200,31055007467,1
31011960200,31055007504,2
31011960200,31055007505,1
31011960200,31055007509,1
31011960200,31055007515,1
31011960200,31055007518,1
31011960200,31055007519,2
31011960200,31055007523,1
31011960200,31055007524,4
31013951100,31055000400,1
31013951100,31055000500,1
31013951100,31055001800,1
31013951100,31055002900,1
31013951100,31055004000,1
31013951100,31055004300,1
31013951100,31055004400,3
31013951100,31055006606,1
31013951100,31055006701,1
31013951100,31055006704,1
31013951100,31055006806,1
31013951100,31055006906,1
31013951100,31055007001,1
31013951100,31055007101,1
31013951100,31055007409,1
31013951100,31055007431,1
31013951100,31055007448,1
31013951100,31055007454,1
31013951100,31055007463,2
31013951100,31055007466,1
31013951100,31055007471,1
31013951100,31055007474,1
31013951100,31055007524,1
31013951200,31055000500,3
31013951200,31055001600,3
31013951200,31055001800,1
31013951200,31055002200,1
31013951200,31055003100,2
31013951200,31055003600,1
31013951200,31055003800,1
31013951200,31055004200,1
31013951200,31055004300,2
31013951200,31055004400,2
31013951200,31055004700,1
31013951200,31055006302,1
31013951200,31055006400,1
31013951200,31055006504,1
31013951200,31055006803,2
31013951200,31055006805,1
31013951200,31055006806,3
31013951200,31055007001,3
31013951200,31055007003,1
31013951200,31055007101,1
31013951200,31055007311,1
31013951200,31055007406,2
31013951200,31055007409,3
31013951200,31055007424,1
31013951200,31055007432,1
31013951200,31055007439,1
31013951200,31055007442,1
31013951200,31055007443,1
31013951200,31055007444,1
31013951200,31055007445,3
31013951200,31055007451,2
31013951200,31055007454,2
31013951200,31055007457,1
31013951200,31055007464,1
31013951200,31055007474,1
31013951300,31055000400,2
31013951300,31055001600,2
31013951300,31055001800,1
31013951300,31055002300,1
31013951300,31055003100,2
31013951300,31055003500,2
31013951300,31055004300,1
31013951300,31055004400,4
31013951300,31055006504,1
31013951300,31055006703,1
31013951300,31055006803,1
31013951300,31055006805,1
31013951300,31055006905,1
31013951300,31055007001,1
31013951300,31055007101,1
31013951300,31055007409,2
31013951300,31055007444,1
31013951300,31055007445,2
31013951300,31055007446,1
31013951300,31055007472,1
31013951300,31055007474,2
31015975800,31055001600,3
31015975800,31055001800,1
31015975800,31055002100,1
31015975800,31055002500,1
31015975800,31055002900,1
31015975800,31055003500,1
31015975800,31055004400,1
31015975800,31055006605,1
31015975800,31055006703,2
31015975800,31055006704,1
31015975800,31055006803,1
31015975800,31055007001,1
31015975800,31055007003,1
31015975800,31055007101,1
31015975800,31055007431,1
31015975800,31055007432,1
31015975800,31055007441,1
31015975800,31055007448,2
31015975800,31055007462,1
31015975800,31055007470,1
31015975800,31055007473,1
31015975800,31055007474,2
31017975000,31055000200,1
31017975000,31055001600,4
31017975000,31055002100,1
31017975000,31055004400,3
31017975000,31055006400,1
31017975000,31055006505,1
31017975000,31055006701,1
31017975000,31055006704,1
31017975000,31055006803,3
31017975000,31055006806,2
31017975000,31055006906,1
31017975000,31055007001,1
31017975000,31055007003,1
31017975000,31055007406,1
31017975000,31055007409,3
31017975000,31055007436,1
31017975000,31055007439,1
31017975000,31055007440,1
31017975000,31055007449,1
31017975000,31055007505,3
31017975000,31055007515,1
31019968900,31055001100,1
31019968900,31055001200,1
31019968900,31055001600,1
31019968900,31055001800,1
31019968900,31055002900,1
31019968900,31055003100,3
31019968900,31055003300,1
31019968900,31055004200,1
31019968900,31055004300,1
31019968900,31055004800,1
31019968900,31055006400,1
31019968900,31055006701,1
31019968900,31055006704,1
31019968900,31055006806,2
31019968900,31055007001,3
31019968900,31055007003,1
31019968900,31055007312,1
31019968900,31055007406,1
31019968900,31055007407,1
31019968900,31055007409,10
31019968900,31055007439,2
31019968900,31055007443,1
31019968900,31055007444,1
31019968900,31055007445,2
31019968900,31055007448,2
31019968900,31055007449,1
31019968900,31055007451,1
31019968900,31055007454,2
31019968900,31055007457,2
31019968900,31055007462,2
31019968900,31055007474,1
31019968900,31055007506,2
31019968900,31055007508,2
31019968900,31055007509,1
31019968900,31055007514,1
31019968900,31055007515,1
31019968900,31055007516,2
31019968900,31055007519,1
31019968900,31055007520,1
31019968900,31055007521,2
31019969000,31055000200,1
31019969000,31055000400,1
31019969000,31055000500,1
31019969000,31055001600,4
31019969000,31055002500,1
31019969000,31055002900,1
31019969000,31055003100,2
31019969000,31055004300,2
31019969000,31055004400,1
31019969000,31055004800,2
31019969000,31055004900,1
31019969000,31055006302,1
31019969000,31055006505,1
31019969000,31055006605,1
31019969000,31055006701,1
31019969000,31055006803,4
31019969000,31055006806,1
31019969000,31055006905,1
31019969000,31055007001,2
31019969000,31055007101,1
31019969000,31055007311,1
31019969000,31055007312,1
31019969000,31055007406,1
31019969000,31055007407,1
31019969000,31055007409,13
31019969000,31055007431,2
31019969000,31055007439,6
31019969000,31055007440,1
31019969000,31055007444,4
31019969000,31055007445,4
31019969000,31055007448,1
31019969000,31055007449,1
31019969000,31055007451,1
31019969000,31055007454,1
31019969000,31055007457,1
31019969000,31055007460,1
31019969000,31055007462,1
31019969000,31055007470,2
31019969000,31055007471,1
31019969000,31055007473,2
31019969000,31055007474,1
31019969000,31055007506,1
31019969000,31055007509,1
31019969000,31055007518,1
31019969000,31055007524,2
31019969100,31055000400,1
31019969100,31055000500,1
31019969100,31055001600,4
31019969100,31055001800,3
31019969100,31055001900,1
31019969100,31055002000,1
31019969100,31055002900,1
31019969100,31055003100,3
31019969100,31055004200,1
31019969100,31055004300,1
31019969100,31055004400,3
31019969100,31055004800,1
31019969100,31055006504,1
31019969100,31055006701,2
31019969100,31055006803,3
31019969100,31055006806,1
31019969100,31055006906,2
31019969100,31055007001,2
31019969100,31055007003,3
31019969100,31055007406,1
31019969100,31055007409,11
31019969100,31055007444,3
31019969100,31055007445,3
31019969100,31055007448,1
31019969100,31055007449,2
31019969100,31055007457,1
31019969100,31055007462,2
31019969100,31055007467,1
31019969100,31055007471,1
31019969100,31055007474,1
31019969100,31055007504,1
31019969100,31055007516,1
31019969100,31055007520,1
31019969100,31055007521,1
31019969100,31055007524,2
31019969202,31055000500,2
31019969202,31055001900,1
31019969202,31055002500,1
31019969202,31055003100,4
31019969202,31055004000,1
31019969202,31055004400,3
31019969202,31055006504,3
31019969202,31055006506,1
31019969202,31055006701,1
31019969202,31055006703,1
31019969202,31055006803,2
31019969202,31055006806,3
31019969202,31055007001,4
31019969202,31055007003,2
31019969202,31055007101,3
31019969202,31055007409,9
31019969202,31055007436,1
31019969202,31055007439,1
31019969202,31055007440,2
31019969202,31055007444,1
31019969202,31055007449,2
31019969202,31055007451,1
31019969202,31055007452,1
31019969202,31055007459,1
31019969202,31055007462,1
31019969202,31055007463,1
31019969202,31055007464,1
31019969202,31055007467,1
31019969202,31055007474,1
31019969202,31055007504,1
31019969202,31055007506,1
31019969202,31055007515,1
31019969202,31055007516,1
31019969202,31055007517,1
31019969202,31055007521,2
31019969202,31055007524,2
31019969203,31055000400,2
31019969203,31055000500,4
31019969203,31055001600,4
31019969203,31055002900,2
31019969203,31055003100,3
31019969203,31055004200,2
31019969203,31055004400,3
31019969203,31055004800,2
31019969203,31055006302,1
31019969203,31055006701,1
31019969203,31055006803,2
31019969203,31055006805,1
31019969203,31055006806,1
31019969203,31055007001,5
31019969203,31055007003,2
31019969203,31055007320,1
31019969203,31055007406,1
31019969203,31055007409,9
31019969203,31055007429,1
31019969203,31055007432,2
