GEOID,tract_label,median_rent,median_household_income,affordable_rent_estimate,vehicle_households_total,households_without_vehicles,no_vehicle_share,poverty_universe,population_below_poverty,poverty_rate,civilian_labor_force,unemployed_population,unemployment_rate,race_ethnicity_total,nh_white_population,nh_black_population,nh_native_population,nh_asian_population,nh_pacific_population,nh_other_population,nh_two_or_more_population,hispanic_population,nh_white_share,nh_black_share,nh_native_share,nh_asian_share,nh_pacific_share,nh_other_share,nh_two_or_more_share,hispanic_share,people_of_color_share,education_25plus_total,hs_plus_population,bachelors_plus_population,hs_plus_share,bachelors_plus_share,rent_burden_universe,rent_burdened_households,rent_burden_rate,acs_year
31055007462,Census Tract 74.62; Douglas County; Nebraska,1411.0,79063.0,1976.5749999999998,1798.0,18.0,0.010011123470522803,4561.0,394.0,0.08638456478842359,2352.0,86.0,0.036564625850340135,4579.0,3508.0,254.0,4.0,76.0,0.0,0.0,263.0,474.0,0.7661061367110723,0.05547062677440489,0.0008735531775496833,0.016597510373443983,0.0,0.0,0.05743612142389168,0.10351605153963747,0.2338938632889277,3105.0,2796.0,1008.0,0.9004830917874396,0.32463768115942027,569.0,235.0,0.4130052724077329,2024
31055007463,Census Tract 74.63; Douglas County; Nebraska,1180.0,79453.0,1986.3249999999998,1621.0,26.0,0.016039481801357187,3861.0,205.0,0.053095053095053094,2356.0,121.0,0.05135823429541596,3868.0,3207.0,46.0,0.0,12.0,7.0,11.0,58.0,527.0,0.8291106514994829,0.011892450879007239,0.0,0.0031023784901758012,0.0018097207859358842,0.002843846949327818,0.01499482936918304,0.13624612202688727,0.17088934850051707,2638.0,2557.0,930.0,0.969294920394238,0.3525398028809704,480.0,312.0,0.65,2024
31055007464,Census Tract 74.64; Douglas County; Nebraska,1548.0,88316.0,2207.9,1394.0,28.0,0.020086083213773313,2794.0,172.0,0.06156048675733715,1553.0,58.0,0.03734707018673535,2875.0,2459.0,1.0,0.0,60.0,0.0,9.0,155.0,191.0,0.855304347826087,0.00034782608695652176,0.0,0.020869565217391306,0.0,0.003130434782608696,0.05391304347826087,0.06643478260869565,0.144695652173913,2316.0,2233.0,1071.0,0.9641623488773747,0.46243523316062174,435.0,185.0,0.42528735632183906,2024
31055007465,Census Tract 74.65; Douglas County; Nebraska,1312.0,80660.0,2016.5,1807.0,143.0,0.07913669064748201,4174.0,377.0,0.09032103497843795,2348.0,85.0,0.036201022146507666,4224.0,2531.0,87.0,0.0,793.0,0.0,11.0,163.0,639.0,0.5991950757575758,0.020596590909090908,0.0,0.18773674242424243,0.0,0.0026041666666666665,0.03858901515151515,0.1512784090909091,0.4008049242424242,2955.0,2792.0,1162.0,0.9448392554991539,0.3932318104906937,774.0,326.0,0.42118863049095606,2024
31055007466,Census Tract 74.66; Douglas County; Nebraska,1063.0,72689.0,1817.2250000000001,2781.0,205.0,0.07371449119021935,5296.0,674.0,0.12726586102719034,3357.0,45.0,0.013404825737265416,5296.0,3884.0,112.0,0.0,103.0,0.0,36.0,285.0,876.0,0.7333836858006042,0.021148036253776436,0.0,0.019448640483383687,0.0,0.006797583081570997,0.053814199395770396,0.16540785498489427,0.2666163141993958,3862.0,3653.0,1597.0,0.9458829621957535,0.41351631279129986,1654.0,915.0,0.5532043530834341,2024
31055007467,Census Tract 74.67; Douglas County; Nebraska,1036.0,69531.0,1738.2749999999999,2053.0,57.0,0.027764247442766683,4505.0,539.0,0.11964483906770255,3098.0,135.0,0.04357650096836669,4571.0,3211.0,68.0,0.0,166.0,0.0,0.0,104.0,1022.0,0.7024721067600087,0.014876394661999562,0.0,0.036315904616057756,0.0,0.0,0.022752133012469918,0.22358346094946402,0.2975278932399913,3107.0,2940.0,1201.0,0.9462504023173479,0.38654650788542,1098.0,426.0,0.3879781420765027,2024
31055007468,Census Tract 74.68; Douglas County; Nebraska,1072.0,90625.0,2265.625,1036.0,10.0,0.009652509652509652,2540.0,69.0,0.02716535433070866,1522.0,34.0,0.022339027595269383,2554.0,1941.0,37.0,0.0,0.0,0.0,0.0,23.0,553.0,0.7599843382928739,0.014487079091620987,0.0,0.0,0.0,0.0,0.009005481597494126,0.21652310101801095,0.24001566170712607,1847.0,1703.0,408.0,0.9220357336220899,0.22089875473741202,197.0,124.0,0.6294416243654822,2024
31055007469,Census Tract 74.69; Douglas County; Nebraska,1702.0,123790.0,3094.75,1870.0,37.0,0.019786096256684493,4691.0,159.0,0.03389469196333404,2925.0,22.0,0.007521367521367521,4704.0,3528.0,122.0,18.0,265.0,0.0,12.0,417.0,342.0,0.75,0.025935374149659865,0.003826530612244898,0.05633503401360544,0.0,0.002551020408163265,0.08864795918367346,0.07270408163265306,0.25,3176.0,3023.0,1585.0,0.9518261964735516,0.49905541561712846,474.0,180.0,0.379746835443038,2024
31055007470,Census Tract 74.70; Douglas County; Nebraska,1404.0,91736.0,2293.4,2724.0,17.0,0.006240822320117474,6907.0,207.0,0.02996959606196612,4110.0,50.0,0.012165450121654502,6907.0,5212.0,211.0,9.0,559.0,0.0,0.0,461.0,455.0,0.7545967858694078,0.030548718691182856,0.0013030259157376576,0.08093238743303895,0.0,0.0,0.0667438830172289,0.06587519907340379,0.24540321413059218,4519.0,4412.0,1999.0,0.9763221951759239,0.4423545032086745,1289.0,486.0,0.3770364623739333,2024
31055007471,Census Tract 74.71; Douglas County; Nebraska,1399.0,113523.0,2838.0750000000003,1475.0,169.0,0.11457627118644068,4061.0,184.0,0.04530903718295986,2043.0,77.0,0.03768967205090553,4061.0,2902.0,328.0,7.0,215.0,0.0,27.0,155.0,427.0,0.7146023147008126,0.08076828367397193,0.0017237133710908644,0.05294262496921941,0.0,0.006648608717064762,0.03816793893129771,0.10514651563654272,0.2853976852991874,2698.0,2631.0,1395.0,0.9751667902149741,0.5170496664195701,438.0,245.0,0.5593607305936074,2024
